Genus species ,Common name
Scomber japonicus,Chub mackerel
Acanthocybium solandri,Wahoo
Thunnus alalunga,Albacore tuna
Herklotsichthys quadrimaculatus,Bluestripe herring
Tetrapturus audax,Striped marlin
Megalops cyprinoides,Indo-Pacific tarpon
Sphyraena barracuda,Great barracuda
Thunnus obesus,Bigeye tuna
Thunnus albacares,Yellowfin tuna
Makaira mazara,Indo-Pacific blue marlin
Cheilinus undulatus,Humphead wrasse
Decapterus russelli,Indian scad
Trichiurus lepturus,Largehead hairtail
Epinephelus merra,Honeycomb grouper
Thunnus alalunga,Albacore tuna
Tetrapturus angustirostris,Shortbill spearfish
Acanthocybium solandri,Wahoo
Thunnus obesus,Bigeye tuna
Makaira indica,Black marlin
Rachycentron canadum,Cobia
Istiophorus platypterus,Indo-Pacific sailfish
Xiphias gladius,Swordfish
Thunnus albacares,Yellowfin tuna
Saurida tumbil,Greater lizardfish
Euthynnus affinis,Kawakawa
Cephalopholis boenak,Chocolate hind
Rastrelliger kanagurta,Indian mackerel
Scylla serrata,Mud crab
Katsuwonus pelamis,Skipjack tuna
Scomberomorus commerson,Narrow-barred Spanish mackerel
Katsuwonus pelamis,Skipjack tuna
Coryphaena hippurus,Common dolphinfish
Elagatis bipinnulata,Rainbow runner
Rastrelliger brachysoma,Short mackerel
