Scientific,Common,IUCN Category,Trend
Cheilinus undulatus,Maori wrasse,EN,Decreasing
Bolbometopon muricatum,Bumphead Parrotfish,VU,Decreasing
Plectropomus areolatus,Squaretail Leopardgrouper,VU,Decreasing
Plectropomus leopardus,Fiji coral trout ,NT,Decreasing
Epinephelus lanceolatus,Giant grouper,VU,Decreasing
Epinephelus fuscoguttatus,Brown-marbled Grouper,NT,Unknown
Epinephelus polyphekadion,Camouflage Grouper,NT,Decreasing
Caranx ignobilis,Giant trevally,,
Caranx melampygus,Bluefin trevally,,
Caretta caretta,loggerhead,EN,Increasing
Dermochelys coriacea,leatherback,CR,Stable
Chelonia mydas,green turtle,EN,Decreasing
Eretmochelys imbricata,hawksbill,CR,Decreasing
Lepidochelys olivacea,olive ridley,VU,Decreasing
Triaenodon obesus,Whitetip Reef Shark,NT,Unknown
Carcharhinus albimarginatus,Silvertip shark,NT,Unknown
Carcharhinus melanopterus,Blacktip Reef Shark,NT,Decreasing
Carcharhinus amblyrhynchos,Grey reef shark,NT,Unknown
Carcharhinus leucas,Bull shark,NT,Unknown
Galeocerdo cuvier,Tiger shark,NT,Unknown
Sphyrna lewini,Scalloped Hammerhead shark,NT,Unknown
Sphyrna mokarran,Great hammerhead shark,EN,Decreasing
Carcharhinus longimanus,Oceanic whitetip shark,VU,Decreasing
Physeter macrocephalus,Sperm whale,VU,Unknown
Megaptera novaeangliae,Humpback whale,LC,Increasing
Globicephala macrorhynchus,Short-finned pilot whale,DD,Unknown
Charonia tritonis,Trumpet conch,,
Cypraea tigris,Golden cowrie,,
Ovula ovum,Egg cowrie,,
Tridacna derasa,Giant clams,VU,Decreasing
Tridacna maxima,Giant clams,LC,Decreasing
Tridacna squamosa,Giant clams,LC,Decreasing
Palola viridis,palolo worm,DD,Unknown
